Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LSSSSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,479,360
  scalars                 : 14
  total                   : 47,645,198
Estimated FLOPs per token: 2.166651e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011503 | lrm: 1.00 | dt: 15641ms | tok/sec: 33,520 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.125709 | lrm: 1.00 | dt: 278ms | tok/sec: 1,885,359 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.870928 | lrm: 1.00 | dt: 280ms | tok/sec: 1,869,180 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.433020 | lrm: 1.00 | dt: 280ms | tok/sec: 1,874,444 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.042239 | lrm: 1.00 | dt: 300ms | tok/sec: 1,747,003 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.638421 | lrm: 1.00 | dt: 284ms | tok/sec: 1,847,923 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.371412 | lrm: 1.00 | dt: 281ms | tok/sec: 1,866,224 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.148875 | lrm: 1.00 | dt: 292ms | tok/sec: 1,792,579 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.969417 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,506 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.770024 | lrm: 1.00 | dt: 283ms | tok/sec: 1,849,955 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.617823 | lrm: 1.00 | dt: 284ms | tok/sec: 1,843,046 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.448731 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,392 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.355010 | lrm: 1.00 | dt: 287ms | tok/sec: 1,828,708 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.323933 | lrm: 1.00 | dt: 282ms | tok/sec: 1,860,537 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00153 (13.7%) | loss: 4.244918 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,274 | mfu: 39.5% | epoch: 1 | remaining: 259s    
step 00154 (13.8%) | loss: 4.259846 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,909 | mfu: 39.5% | epoch: 1 | remaining: 258s    
step 00155 (13.9%) | loss: 4.247137 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,568 | mfu: 39.8% | epoch: 1 | remaining: 258s    
step 00156 (14.0%) | loss: 4.203609 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,361 | mfu: 39.4% | epoch: 1 | remaining: 258s    
step 00157 (14.0%) | loss: 4.192492 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,933 | mfu: 39.5% | epoch: 1 | remaining: 258s    
step 00158 (14.1%) | loss: 4.183155 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,378 | mfu: 39.6% | epoch: 1 | remaining: 257s    
step 00159 (14.2%) | loss: 4.182348 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,772 | mfu: 39.7% | epoch: 1 | remaining: 257s    
step 00160 (14.3%) | loss: 4.158314 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,716 | mfu: 39.6% | epoch: 1 | remaining: 257s    
step 00161 (14.4%) | loss: 4.157230 | lrm: 1.00 | dt: 288ms | tok/sec: 1,820,475 | mfu: 39.9% | epoch: 1 | remaining: 256s    
step 00162 (14.5%) | loss: 4.161478 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,131 | mfu: 39.8% | epoch: 1 | remaining: 256s    
step 00163 (14.6%) | loss: 4.135315 | lrm: 1.00 | dt: 292ms | tok/sec: 1,797,286 | mfu: 39.4% | epoch: 1 | remaining: 256s    
step 00164 (14.7%) | loss: 4.108584 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,230 | mfu: 39.7% | epoch: 1 | remaining: 256s    
step 00165 (14.8%) | loss: 4.122604 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,035 | mfu: 39.7% | epoch: 1 | remaining: 255s    
step 00166 (14.9%) | loss: 4.156494 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,011 | mfu: 39.6% | epoch: 1 | remaining: 255s    
step 00167 (15.0%) | loss: 4.182412 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,923 | mfu: 39.6% | epoch: 1 | remaining: 255s    
step 00168 (15.1%) | loss: 4.222629 | lrm: 1.00 | dt: 287ms | tok/sec: 1,824,812 | mfu: 40.0% | epoch: 1 | remaining: 254s    
step 00169 (15.2%) | loss: 4.234130 | lrm: 1.00 | dt: 288ms | tok/sec: 1,822,814 | mfu: 39.9% | epoch: 1 | remaining: 254s    
step 00170 (15.3%) | loss: 4.213983 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,663 | mfu: 39.6% | epoch: 1 | remaining: 254s    
step 00171 (15.4%) | loss: 4.195101 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,547 | mfu: 39.6% | epoch: 1 | remaining: 254s    
step 00172 (15.5%) | loss: 4.203046 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,766 | mfu: 39.8% | epoch: 1 | remaining: 253s    
step 00173 (15.6%) | loss: 4.178415 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,820 | mfu: 39.5% | epoch: 1 | remaining: 253s    
step 00174 (15.7%) | loss: 4.175582 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,303 | mfu: 39.7% | epoch: 1 | remaining: 253s    
step 00175 (15.8%) | loss: 4.180696 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,124 | mfu: 39.4% | epoch: 1 | remaining: 252s    
step 00176 (15.9%) | loss: 4.171226 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,116 | mfu: 39.4% | epoch: 1 | remaining: 252s    
step 00177 (16.0%) | loss: 4.170445 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,300 | mfu: 39.6% | epoch: 1 | remaining: 252s    
step 00178 (16.1%) | loss: 4.146681 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,400 | mfu: 39.6% | epoch: 1 | remaining: 251s    
step 00179 (16.2%) | loss: 4.142594 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,111 | mfu: 39.5% | epoch: 1 | remaining: 251s    
step 00180 (16.3%) | loss: 4.119255 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,677 | mfu: 39.5% | epoch: 1 | remaining: 251s    
step 00181 (16.4%) | loss: 4.109359 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,738 | mfu: 39.5% | epoch: 1 | remaining: 251s    
step 00182 (16.5%) | loss: 4.094689 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,521 | mfu: 40.0% | epoch: 1 | remaining: 250s    
step 00183 (16.6%) | loss: 4.038620 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,194 | mfu: 39.7% | epoch: 1 | remaining: 250s    
step 00184 (16.7%) | loss: 4.043450 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,292 | mfu: 39.5% | epoch: 1 | remaining: 250s    
step 00185 (16.8%) | loss: 3.948117 | lrm: 1.00 | dt: 292ms | tok/sec: 1,796,813 | mfu: 39.3% | epoch: 1 | remaining: 249s    
step 00186 (16.8%) | loss: 3.936655 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,008 | mfu: 39.6% | epoch: 1 | remaining: 249s    
step 00187 (16.9%) | loss: 3.950987 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,241 | mfu: 39.7% | epoch: 1 | remaining: 249s    
step 00188 (17.0%) | loss: 3.989152 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,484 | mfu: 39.6% | epoch: 1 | remaining: 249s    
step 00189 (17.1%) | loss: 4.003886 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,063 | mfu: 39.6% | epoch: 1 | remaining: 248s    
step 00190 (17.2%) | loss: 3.965571 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,473 | mfu: 40.0% | epoch: 1 | remaining: 248s    
step 00191 (17.3%) | loss: 3.909956 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,673 | mfu: 39.6% | epoch: 1 | remaining: 248s    
step 00192 (17.4%) | loss: 3.956245 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,942 | mfu: 39.6% | epoch: 1 | remaining: 247s    
step 00193 (17.5%) | loss: 3.959001 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,692 | mfu: 39.6% | epoch: 1 | remaining: 247s    
step 00194 (17.6%) | loss: 3.974091 | lrm: 1.00 | dt: 287ms | tok/sec: 1,824,965 | mfu: 40.0% | epoch: 1 | remaining: 247s    
step 00195 (17.7%) | loss: 4.001796 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,250 | mfu: 39.6% | epoch: 1 | remaining: 247s    
step 00196 (17.8%) | loss: 4.016942 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,128 | mfu: 39.7% | epoch: 1 | remaining: 246s    
step 00197 (17.9%) | loss: 4.058295 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,273 | mfu: 39.7% | epoch: 1 | remaining: 246s    
step 00198 (18.0%) | loss: 4.029641 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,787 | mfu: 39.7% | epoch: 1 | remaining: 246s    
step 00199 (18.1%) | loss: 4.098293 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,350 | mfu: 39.5% | epoch: 1 | remaining: 245s    
step 00200 (18.2%) | loss: 4.089770 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,978 | mfu: 39.7% | epoch: 1 | remaining: 245s    
step 00201 (18.3%) | loss: 4.105333 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,535 | mfu: 39.8% | epoch: 1 | remaining: 245s    
step 00202 (18.4%) | loss: 4.080839 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,747 | mfu: 39.5% | epoch: 1 | remaining: 245s    
step 00203 (18.5%) | loss: 4.045502 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,580 | mfu: 39.5% | epoch: 1 | remaining: 244s    
step 00204 (18.6%) | loss: 4.068709 | lrm: 1.00 | dt: 287ms | tok/sec: 1,827,534 | mfu: 40.0% | epoch: 1 | remaining: 244s    
step 00205 (18.7%) | loss: 4.081969 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,126 | mfu: 39.7% | epoch: 1 | remaining: 244s    
step 00206 (18.8%) | loss: 4.075369 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,385 | mfu: 39.6% | epoch: 1 | remaining: 243s    
step 00207 (18.9%) | loss: 4.091020 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,974 | mfu: 39.7% | epoch: 1 | remaining: 243s    
step 00208 (19.0%) | loss: 4.082580 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,869 | mfu: 39.7% | epoch: 1 | remaining: 243s    
step 00209 (19.1%) | loss: 4.058743 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,185 | mfu: 39.7% | epoch: 1 | remaining: 243s    
step 00210 (19.2%) | loss: 4.063567 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,618 | mfu: 39.4% | epoch: 1 | remaining: 242s    
step 00211 (19.3%) | loss: 4.086098 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,935 | mfu: 39.7% | epoch: 1 | remaining: 242s    
step 00212 (19.4%) | loss: 4.132117 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,408 | mfu: 39.6% | epoch: 1 | remaining: 242s    
step 00213 (19.5%) | loss: 4.124972 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,166 | mfu: 39.6% | epoch: 1 | remaining: 241s    
step 00214 (19.6%) | loss: 4.155500 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,557 | mfu: 39.7% | epoch: 1 | remaining: 241s    
step 00215 (19.6%) | loss: 4.127142 | lrm: 1.00 | dt: 287ms | tok/sec: 1,826,009 | mfu: 40.0% | epoch: 1 | remaining: 241s    
step 00216 (19.7%) | loss: 4.119803 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,652 | mfu: 39.6% | epoch: 1 | remaining: 240s    
step 00217 (19.8%) | loss: 4.095931 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,179 | mfu: 39.6% | epoch: 1 | remaining: 240s    
step 00218 (19.9%) | loss: 4.083393 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,427 | mfu: 39.7% | epoch: 1 | remaining: 240s    
step 00219 (20.0%) | loss: 4.049099 | lrm: 1.00 | dt: 287ms | tok/sec: 1,826,581 | mfu: 40.0% | epoch: 1 | remaining: 240s    
step 00220 (20.1%) | loss: 4.074311 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,294 | mfu: 39.6% | epoch: 1 | remaining: 239s    
step 00221 (20.2%) | loss: 4.030729 | lrm: 1.00 | dt: 288ms | tok/sec: 1,820,407 | mfu: 39.9% | epoch: 1 | remaining: 239s    
step 00222 (20.3%) | loss: 4.033360 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,726 | mfu: 39.6% | epoch: 1 | remaining: 239s    
step 00223 (20.4%) | loss: 4.043580 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,072 | mfu: 39.6% | epoch: 1 | remaining: 238s    
step 00224 (20.5%) | loss: 4.036867 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,065 | mfu: 39.7% | epoch: 1 | remaining: 238s    
step 00225 (20.6%) | loss: 4.011656 | lrm: 1.00 | dt: 288ms | tok/sec: 1,817,331 | mfu: 39.8% | epoch: 1 | remaining: 238s    
step 00226 (20.7%) | loss: 4.020586 | lrm: 1.00 | dt: 292ms | tok/sec: 1,798,555 | mfu: 39.4% | epoch: 1 | remaining: 238s    
step 00227 (20.8%) | loss: 4.002276 | lrm: 1.00 | dt: 290ms | tok/sec: 1,804,892 | mfu: 39.5% | epoch: 1 | remaining: 237s    
step 00228 (20.9%) | loss: 4.033027 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,001 | mfu: 39.8% | epoch: 1 | remaining: 237s    
step 00229 (21.0%) | loss: 3.997611 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,861 | mfu: 39.5% | epoch: 1 | remaining: 237s    
step 00230 (21.1%) | loss: 3.989275 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,244 | mfu: 39.7% | epoch: 1 | remaining: 236s    
step 00231 (21.2%) | loss: 3.987479 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,827 | mfu: 39.6% | epoch: 1 | remaining: 236s    
step 00232 (21.3%) | loss: 3.969096 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,368 | mfu: 39.7% | epoch: 1 | remaining: 236s    
step 00233 (21.4%) | loss: 3.978822 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,824 | mfu: 39.8% | epoch: 1 | remaining: 236s    
step 00234 (21.5%) | loss: 3.954272 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,396 | mfu: 39.5% | epoch: 1 | remaining: 235s    
step 00235 (21.6%) | loss: 3.930044 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,884 | mfu: 39.7% | epoch: 1 | remaining: 235s    
step 00236 (21.7%) | loss: 3.900344 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,838 | mfu: 39.7% | epoch: 1 | remaining: 235s    
step 00237 (21.8%) | loss: 3.927482 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,595 | mfu: 39.9% | epoch: 1 | remaining: 234s    
step 00238 (21.9%) | loss: 3.891861 | lrm: 1.00 | dt: 293ms | tok/sec: 1,790,435 | mfu: 39.2% | epoch: 1 | remaining: 234s    
step 00239 (22.0%) | loss: 3.925753 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,348 | mfu: 39.8% | epoch: 1 | remaining: 234s    
step 00240 (22.1%) | loss: 3.855419 | lrm: 1.00 | dt: 292ms | tok/sec: 1,798,384 | mfu: 39.4% | epoch: 1 | remaining: 234s    
step 00241 (22.2%) | loss: 3.848341 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,304 | mfu: 39.7% | epoch: 1 | remaining: 233s    
step 00242 (22.3%) | loss: 3.847546 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,764 | mfu: 39.7% | epoch: 1 | remaining: 233s    
step 00243 (22.3%) | loss: 3.881121 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,178 | mfu: 39.8% | epoch: 1 | remaining: 233s    
step 00244 (22.4%) | loss: 3.905198 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,522 | mfu: 39.5% | epoch: 1 | remaining: 232s    
step 00245 (22.5%) | loss: 3.854864 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,909 | mfu: 39.6% | epoch: 1 | remaining: 232s    
step 00246 (22.6%) | loss: 3.854113 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,442 | mfu: 39.5% | epoch: 1 | remaining: 232s    
step 00247 (22.7%) | loss: 3.874206 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,536 | mfu: 39.7% | epoch: 1 | remaining: 232s    
step 00248 (22.8%) | loss: 3.864018 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,314 | mfu: 39.4% | epoch: 1 | remaining: 231s    
step 00249 (22.9%) | loss: 3.867508 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,181 | mfu: 39.7% | epoch: 1 | remaining: 231s    
step 00250 (23.0%) | loss: 3.850310 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,500 | mfu: 39.6% | epoch: 1 | remaining: 231s    
step 00251 (23.1%) | loss: 3.864955 | lrm: 1.00 | dt: 286ms | tok/sec: 1,833,913 | mfu: 40.2% | epoch: 1 | remaining: 230s    
step 00252 (23.2%) | loss: 3.898233 | lrm: 1.00 | dt: 292ms | tok/sec: 1,796,985 | mfu: 39.3% | epoch: 1 | remaining: 230s    
step 00253 (23.3%) | loss: 3.891593 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,842 | mfu: 39.6% | epoch: 1 | remaining: 230s    
step 00254 (23.4%) | loss: 3.855444 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,375 | mfu: 39.8% | epoch: 1 | remaining: 229s    
step 00255 (23.5%) | loss: 3.853983 | lrm: 1.00 | dt: 287ms | tok/sec: 1,824,850 | mfu: 40.0% | epoch: 1 | remaining: 229s    
step 00256 (23.6%) | loss: 3.809664 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,604 | mfu: 39.4% | epoch: 1 | remaining: 229s    
step 00257 (23.7%) | loss: 3.773995 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,061 | mfu: 39.5% | epoch: 1 | remaining: 229s    
step 00258 (23.8%) | loss: 3.792207 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,077 | mfu: 39.7% | epoch: 1 | remaining: 228s    
step 00259 (23.9%) | loss: 3.805480 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,982 | mfu: 39.7% | epoch: 1 | remaining: 228s    
step 00260 (24.0%) | loss: 3.805101 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,022 | mfu: 39.7% | epoch: 1 | remaining: 228s    
step 00261 (24.1%) | loss: 3.819775 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,475 | mfu: 39.6% | epoch: 1 | remaining: 227s    
step 00262 (24.2%) | loss: 3.846680 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,580 | mfu: 39.7% | epoch: 1 | remaining: 227s    
step 00263 (24.3%) | loss: 3.846932 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,524 | mfu: 39.4% | epoch: 1 | remaining: 227s    
step 00264 (24.4%) | loss: 3.872199 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,388 | mfu: 39.7% | epoch: 1 | remaining: 227s    
step 00265 (24.5%) | loss: 3.895016 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,843 | mfu: 39.9% | epoch: 1 | remaining: 226s    
step 00266 (24.6%) | loss: 3.904987 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,898 | mfu: 39.7% | epoch: 1 | remaining: 226s    
step 00267 (24.7%) | loss: 3.902302 | lrm: 1.00 | dt: 292ms | tok/sec: 1,798,249 | mfu: 39.4% | epoch: 1 | remaining: 226s    
step 00268 (24.8%) | loss: 3.912735 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,741 | mfu: 39.6% | epoch: 1 | remaining: 225s    
step 00269 (24.9%) | loss: 3.915091 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,932 | mfu: 39.7% | epoch: 1 | remaining: 225s    
step 00270 (25.0%) | loss: 3.916073 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,741 | mfu: 39.7% | epoch: 1 | remaining: 225s    
step 00271 (25.1%) | loss: 3.921512 | lrm: 1.00 | dt: 293ms | tok/sec: 1,790,827 | mfu: 39.2% | epoch: 1 | remaining: 225s    
step 00272 (25.1%) | loss: 3.914076 | lrm: 1.00 | dt: 287ms | tok/sec: 1,825,864 | mfu: 40.0% | epoch: 1 | remaining: 224s    
step 00273 (25.2%) | loss: 3.881715 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,928 | mfu: 39.4% | epoch: 1 | remaining: 224s    
step 00274 (25.3%) | loss: 3.885241 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,238 | mfu: 39.8% | epoch: 1 | remaining: 224s    
step 00275 (25.4%) | loss: 3.845664 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,622 | mfu: 39.7% | epoch: 1 | remaining: 223s    
step 00276 (25.5%) | loss: 3.875997 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,094 | mfu: 39.5% | epoch: 1 | remaining: 223s    
step 00277 (25.6%) | loss: 3.859898 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,663 | mfu: 39.5% | epoch: 1 | remaining: 223s    
step 00278 (25.7%) | loss: 3.860897 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,483 | mfu: 39.7% | epoch: 1 | remaining: 223s    
step 00279 (25.8%) | loss: 3.873883 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,975 | mfu: 39.7% | epoch: 1 | remaining: 222s    
step 00280 (25.9%) | loss: 3.907887 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,766 | mfu: 39.6% | epoch: 1 | remaining: 222s    
step 00281 (26.0%) | loss: 3.910204 | lrm: 1.00 | dt: 293ms | tok/sec: 1,790,478 | mfu: 39.2% | epoch: 1 | remaining: 222s    
step 00282 (26.1%) | loss: 3.898580 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,583 | mfu: 39.7% | epoch: 1 | remaining: 221s    
step 00283 (26.2%) | loss: 3.863600 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,613 | mfu: 39.5% | epoch: 1 | remaining: 221s    
step 00284 (26.3%) | loss: 3.813801 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,623 | mfu: 39.8% | epoch: 1 | remaining: 221s    
step 00285 (26.4%) | loss: 3.819229 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,740 | mfu: 39.5% | epoch: 1 | remaining: 220s    
step 00286 (26.5%) | loss: 3.859544 | lrm: 1.00 | dt: 288ms | tok/sec: 1,822,106 | mfu: 39.9% | epoch: 1 | remaining: 220s    
step 00287 (26.6%) | loss: 3.864314 | lrm: 1.00 | dt: 292ms | tok/sec: 1,796,032 | mfu: 39.3% | epoch: 1 | remaining: 220s    
step 00288 (26.7%) | loss: 3.847322 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,886 | mfu: 39.7% | epoch: 1 | remaining: 220s    
step 00289 (26.8%) | loss: 3.904169 | lrm: 1.00 | dt: 293ms | tok/sec: 1,789,811 | mfu: 39.2% | epoch: 1 | remaining: 219s    
step 00290 (26.9%) | loss: 3.963019 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,996 | mfu: 39.8% | epoch: 1 | remaining: 219s    
step 00291 (27.0%) | loss: 3.946595 | lrm: 1.00 | dt: 293ms | tok/sec: 1,789,358 | mfu: 39.2% | epoch: 1 | remaining: 219s    
step 00292 (27.1%) | loss: 3.953716 | lrm: 1.00 | dt: 292ms | tok/sec: 1,796,166 | mfu: 39.3% | epoch: 1 | remaining: 218s    
step 00293 (27.2%) | loss: 3.904874 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,750 | mfu: 39.6% | epoch: 1 | remaining: 218s    
step 00294 (27.3%) | loss: 3.902812 | lrm: 1.00 | dt: 288ms | tok/sec: 1,821,274 | mfu: 39.9% | epoch: 1 | remaining: 218s    
step 00295 (27.4%) | loss: 3.889007 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,220 | mfu: 39.4% | epoch: 1 | remaining: 218s    
step 00296 (27.5%) | loss: 3.891698 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,242 | mfu: 39.6% | epoch: 1 | remaining: 217s    
step 00297 (27.6%) | loss: 3.897638 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,852 | mfu: 39.4% | epoch: 1 | remaining: 217s    
step 00298 (27.7%) | loss: 3.876929 | lrm: 1.00 | dt: 288ms | tok/sec: 1,817,349 | mfu: 39.8% | epoch: 1 | remaining: 217s    
step 00299 (27.8%) | loss: 3.917162 | lrm: 1.00 | dt: 292ms | tok/sec: 1,793,816 | mfu: 39.3% | epoch: 1 | remaining: 216s    
step 00300 (27.9%) | loss: 3.904877 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,140 | mfu: 39.6% | epoch: 1 | remaining: 216s    
step 00301 (28.0%) | loss: 3.918578 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,577 | mfu: 39.8% | epoch: 1 | remaining: 216s    
step 00302 (28.0%) | loss: 3.952232 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,633 | mfu: 39.5% | epoch: 1 | remaining: 216s    
step 00303 (28.1%) | loss: 3.939245 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,737 | mfu: 39.4% | epoch: 1 | remaining: 215s    
step 00304 (28.2%) | loss: 3.908907 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,034 | mfu: 39.4% | epoch: 1 | remaining: 215s    
step 00305 (28.3%) | loss: 3.937596 | lrm: 1.00 | dt: 292ms | tok/sec: 1,797,869 | mfu: 39.4% | epoch: 1 | remaining: 215s    
step 00306 (28.4%) | loss: 3.968853 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,199 | mfu: 39.4% | epoch: 1 | remaining: 214s    
step 00307 (28.5%) | loss: 3.964260 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,463 | mfu: 39.4% | epoch: 1 | remaining: 214s    
